Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately",Repairmen on main track: 6,Probability of evacuation: 35%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,659.294205499813,None,,,,,,,645.2524872999638,None,,,,,,,,,,,,,,,,,,,,,661.3118922002614,None,,,,,,,,,,,,,,,n,1.9735127999447286,655.2877024002373,None,657.2928869002499,None,655.2877024002373,None,655.2877024002373,None,655.2877024002373,None,655.2877024002373,None,655.2877024002373,None,655.2877024002373,None,655.2877024002373,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working",Repairmen on main track: 7,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmenon the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,1,1,1,,,,,,,672.2214291999117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.2415852001868,None,,,,,,,,,,,,,,,n,2.8825564002618194,667.3066484001465,None,670.2198665998876,None,667.3066484001465,None,667.3066484001465,None,667.3066484001465,None,667.3066484001465,None,667.3066484001465,None,667.3066484001465,None,667.3066484001465,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die",Repairmen on main track: 5,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,2,2,2,,,,,,,690.5370471002534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.5578632000834,None,,,,,,,,,,,,,,,n,8.275149200111628,680.233778799884,None,688.5354212000966,None,680.233778799884,None,680.233778799884,None,680.233778799884,None,680.233778799884,None,680.233778799884,None,680.233778799884,None,680.233778799884,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time",Repairmen on main track: 6,Probability of evacuation:  50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 4 repairmen on the sidetrack lived.

The ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,Repairmen on sidetrack: 4,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,3,3,3,,,,,,,709.2025365000591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.2212283001281,None,,,,,,,,,,,,,,,n,8.627928900066763,698.5533243999816,None,707.2012080000713,None,698.5533243999816,None,698.5533243999816,None,698.5533243999816,None,698.5533243999816,None,698.5533243999816,None,698.5533243999816,None,698.5533243999816,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Repairmen on main track: 7,Probability of evacuation: 50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,4,4,4,,,,,,,721.9631826002151,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.981864800211,None,,,,,,,,,,,,,,,n,2.71255369996652,717.2203134000301,None,719.961465800181,None,717.2203134000301,None,717.2203134000301,None,717.2203134000301,None,717.2203134000301,None,717.2203134000301,None,717.2203134000301,None,717.2203134000301,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in the kitchen of a café, and see a terrorist throw a grenade next to the main dining room, in which a number of customers are eating

• If nothing is done the grenade will explode and the walls of the main dining room will collapse and kill these customers","Customers in main
dining room: 6","Probability customers
will be spared: 35%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 3 customers on the patio lived.

The ","The 3 customers on the patio died.

The 6 customers in the main dining room were saved.",6,35, customers in the main dining room,Customers on the patio: 3,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,727.9678755998611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.0198833998293,None,space,1.9132778998464346,730.0198833998293,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• There is only one other location the grenade could be thrown before it explodes, and that is the patio outside of the main dining room

• There are other customers sitting on the patio, and they would certainly be killed if the grenade is thrown there","Customers in main
dining room: 14","Probability customers
will be spared: 50%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The ","The 7 customers on the patio died.

The 14 customers in the main dining room were saved.",14,50, customers in the main dining room,Customers on the patio: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.9873910997994,None,space,0.34571299981325865,731.9873910997994,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You have time to run out and throw the grenade to the patio, without risking any harm to yourself","Customers in main
dining room: 5","Probability customers
will be spared: 35%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The ","The 2 customers on the patio died.

The 5 customers in the main dining room were saved.",5,50, customers in the main dining room,Customers on the patio: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.3641139999963,None,space,0.6087652002461255,732.3641139999963,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• If you do this, the customers in the dining room will live but the customers on the patio will die 

• You also know that there is a chance that the dining room walls will withstand the blast of the grenade explosion, and the customers would be spared","Customers in main
dining room: 7","Probability customers
will be spared: 65%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The ","The 2 customers on the patio died.

The 7 customers in the main dining room were saved.",7,35, customers in the main dining room,Customers on the patio: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.0217220000923,None,space,0.5593588999472558,733.0217220000923,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Customers in main
dining room: 9","Probability customers
will be spared: 50%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The ","The 7 customers on the patio died.

The 9 customers in the main dining room were saved.",9,65, customers in the main dining room,Customers on the patio: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.6164608001709,None,space,0.5245599998161197,733.6164608001709,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in the kitchen of a café, and see a terrorist throw a grenade next to the main dining room, in which a number of customers are eating

• If nothing is done the grenade will explode and the walls of the main dining room will collapse and kill these customers","Customers in main
dining room: 6","Probability customers
will be spared: 35%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 3 customers on the patio lived.

The ","The 3 customers on the patio died.

The 6 customers in the main dining room were saved.",6,35, customers in the main dining room,Customers on the patio: 3,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,751.7374960002489,None,,,,,,,736.1749101998284,None,,,,,,,,,,,,,,,,,,,,,753.7607962000184,None,,,,,,,,,,,,,,,n,3.4982531000860035,746.2105852002278,None,749.7360573001206,None,746.2105852002278,None,746.2105852002278,None,746.2105852002278,None,746.2105852002278,None,746.2105852002278,None,746.2105852002278,None,746.2105852002278,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• There is only one other location the grenade could be thrown before it explodes, and that is the patio outside of the main dining room

• There are other customers sitting on the patio, and they would certainly be killed if the grenade is thrown there","Customers in main
dining room: 14","Probability customers
will be spared: 50%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The ","The 7 customers on the patio died.

The 14 customers in the main dining room were saved.",14,50, customers in the main dining room,Customers on the patio: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,1,1,1,,,,,,,769.3358419002034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.3576615001075,None,,,,,,,,,,,,,,,n,7.552167399786413,759.7566661001183,None,767.3338398998603,None,759.7566661001183,None,759.7566661001183,None,759.7566661001183,None,759.7566661001183,None,759.7566661001183,None,759.7566661001183,None,759.7566661001183,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You have time to run out and throw the grenade to the patio, without risking any harm to yourself","Customers in main
dining room: 5","Probability customers
will be spared: 35%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The ","The 2 customers on the patio died.

The 5 customers in the main dining room were saved.",5,50, customers in the main dining room,Customers on the patio: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,2,2,2,,,,,,,801.9959860001691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.0191612998024,None,,,,,,,,,,,,,,,n,22.610682100057602,777.3542794999667,None,799.9946411000565,None,777.3542794999667,None,777.3542794999667,None,777.3542794999667,None,777.3542794999667,None,777.3542794999667,None,777.3542794999667,None,777.3542794999667,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• If you do this, the customers in the dining room will live but the customers on the patio will die 

• You also know that there is a chance that the dining room walls will withstand the blast of the grenade explosion, and the customers would be spared","Customers in main
dining room: 7","Probability customers
will be spared: 65%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The ","The 2 customers on the patio died.

The 7 customers in the main dining room were saved.",7,35, customers in the main dining room,Customers on the patio: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,3,3,3,,,,,,,819.827863200102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.84721180005,None,,,,,,,,,,,,,,,n,7.794910000171512,810.0100823999383,None,817.8256802000105,None,810.0100823999383,None,810.0100823999383,None,810.0100823999383,None,810.0100823999383,None,810.0100823999383,None,810.0100823999383,None,810.0100823999383,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Customers in main
dining room: 9","Probability customers
will be spared: 50%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The ","The 7 customers on the patio died.

The 9 customers in the main dining room were saved.",9,65, customers in the main dining room,Customers on the patio: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,4,4,4,,,,,,,842.3628051001579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.3828500998206,None,,,,,,,,,,,,,,,n,12.486588899977505,827.8466071002185,None,840.3611622001044,None,827.8466071002185,None,827.8466071002185,None,827.8466071002185,None,827.8466071002185,None,827.8466071002185,None,827.8466071002185,None,827.8466071002185,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• There has been a bomb planted in two buildings, drawing from the same set of wires

• You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,848.367699299939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.3989266999997,None,space,1.9660741998814046,850.3989266999997,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

• The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.4222921999171,None,space,2.822521900292486,852.4222921999171,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

• If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.2993515999988,None,space,2.905510500073433,855.2993515999988,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,• You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.2392091001384,None,space,1.9338650996796787,858.2392091001384,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.2049846998416,None,space,0.6079611997120082,860.2049846998416,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• There has been a bomb planted in two buildings, drawing from the same set of wires

• You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,0,0,0,,,,,,,888.2509937002324,None,,,,,,,862.8493508999236,None,,,,,,,,,,,,,,,,,,,,,890.2687909998931,None,,,,,,,,,,,,,,,n,13.330379199702293,872.8903830000199,None,886.249479399994,None,872.8903830000199,None,872.8903830000199,None,872.8903830000199,None,872.8903830000199,None,872.8903830000199,None,872.8903830000199,None,872.8903830000199,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

• The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,1,1,1,,,,,,,899.5603062999435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.5771813001484,None,,,,,,,,,,,,,,,n,1.2578568998724222,896.2749171000905,None,897.5587705001235,None,896.2749171000905,None,896.2749171000905,None,896.2749171000905,None,896.2749171000905,None,896.2749171000905,None,896.2749171000905,None,896.2749171000905,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

• If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,2,2,2,,,,,,,913.8054297999479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.8225632999092,None,,,,,,,,,,,,,,,n,4.196490400005132,907.5765148000792,None,911.8039278001525,None,907.5765148000792,None,907.5765148000792,None,907.5765148000792,None,907.5765148000792,None,907.5765148000792,None,907.5765148000792,None,907.5765148000792,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,• You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,3,3,3,,,,,,,928.7680931999348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.7839215002023,None,,,,,,,,,,,,,,,n,4.930716900154948,921.8180030998774,None,926.7663527000695,None,921.8180030998774,None,921.8180030998774,None,921.8180030998774,None,921.8180030998774,None,921.8180030998774,None,921.8180030998774,None,921.8180030998774,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,4,4,4,,,,,,,940.1107354001142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942.1305835000239,None,,,,,,,,,,,,,,,n,1.312780600041151,936.7802257998846,None,938.109277700074,None,936.7802257998846,None,936.7802257998846,None,936.7802257998846,None,936.7802257998846,None,936.7802257998846,None,936.7802257998846,None,936.7802257998846,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"•You are a worker on a large submarine

• The upper section of the submarine has a hole in it that is gradually letting water in","Passengers in the
submarine: 8","Probability the passengers will 
break open a window: 35%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 8 passengers were saved.",8,35, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,946.1157705001533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.1422524000518,None,space,6.158894999884069,948.1422524000518,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
