Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately",Repairmen on main track: 6,Probability of evacuation: 35%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,621.8537393002771,None,,,,,,,623.8561387001537,None,,,,,,,,,,,,,,,,,617.8680340000428,None,,,,,,,,,,,,,,,n,31.794741000048816,582.032141700387,None,613.8476445004344,None,582.032141700387,None,582.032141700387,None,582.032141700387,None,582.032141700387,None,582.032141700387,None,582.032141700387,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working",Repairmen on main track: 7,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmenon the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,1,1,1,,,,,,,638.9865744002163,None,,,,,,,640.9890724001452,None,,,,,,,,,,,,,,,,,635.0026063001715,None,,,,,,,,,,,,,,,n,2.097470300272107,628.8647292000242,None,630.9784258003347,None,628.8647292000242,None,628.8647292000242,None,628.8647292000242,None,628.8647292000242,None,628.8647292000242,None,628.8647292000242,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die",Repairmen on main track: 5,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,2,2,2,,,,,,,655.7319706003182,None,,,,,,,657.737305900082,None,,,,,,,,,,,,,,,,,651.74918370042,None,,,,,,,,,,,,,,,n,1.7018200000748038,645.9967151000164,None,647.7270585000515,None,645.9967151000164,None,645.9967151000164,None,645.9967151000164,None,645.9967151000164,None,645.9967151000164,None,645.9967151000164,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time",Repairmen on main track: 6,Probability of evacuation:  50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 4 repairmen on the sidetrack lived.

The ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,Repairmen on sidetrack: 4,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,3,3,3,,,,,,,695.3313404000364,None,,,,,,,697.3339784001,None,,,,,,,,,,,,,,,,,691.347585900221,None,,,,,,,,,,,,,,,n,24.54978490015492,662.7486043004319,None,687.3263317001984,None,662.7486043004319,None,662.7486043004319,None,662.7486043004319,None,662.7486043004319,None,662.7486043004319,None,662.7486043004319,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

OR

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating",Repairmen on main track: 7,Probability of evacuation: 50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,4,4,4,,,,,,,712.7790554002859,None,,,,,,,714.7817102000117,None,,,,,,,,,,,,,,,,,708.7964339000173,None,,,,,,,,,,,,,,,y,2.4066482996568084,702.3480010000058,None,704.7738278000616,None,702.3480010000058,None,702.3480010000058,None,702.3480010000058,None,702.3480010000058,None,702.3480010000058,None,702.3480010000058,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a group of ice fishermen towards the north side of a large frozen lake

• A group of scientists are on the south side of the lake drilling ice cores","Scientists at the 
north end of lake: 6","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 3 fishermen on the south end lived.

The   ","The 3 fishermen on the south end died.

The 6 scientists on the north end were saved.",6,35,scientists at the north end of the lake,dis,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,717.7833152003586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.8111502001993,None,space,0.3992953998968005,719.8111502001993,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"•The scientists sent out a distress call because the ice around them started to shatter and they have fallen into the freezing water

• You are an emergency worker who has been called to rescue the scientists","Scientists at the 
north end of lake: 14","Probability scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The   ","The 7 fishermen on the south end died.

The 14 scientists on the north end were saved.",14,50,scientists at the north end of the lake,EQUAL,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.2545731002465,None,space,6.899657299742103,720.2545731002465,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• To reach the scientists in time, you would need to drive a vehicle across the ice, past the fishermen","Scientists at the 
north end of lake: 5","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The   ","The 2 customers on the patio died.

The 5 customers in the main dining room were saved.",5,50,scientists at the north end of the lake,AD,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.1856301003136,None,space,2.2245558998547494,727.1856301003136,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• If you do this, the weight of the vehicle would cause the ice to crack around the fishermen, causing them to fall into the water and die from the cold

• You also know that there is a chance that the scientists may be able to climb out of the freezing water before going into shock and dying","Scientists at the 
north end of lake: 7","Probability scientists will
get out of the water: 65%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The   ","The 2 customers on the patio died.

The 7 customers in the main dining room were saved.",7,35,scientists at the north end of the lake,ad,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.4532852000557,None,space,6.645273000001907,729.4532852000557,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Drive to the scientists, causing the fishermen to fall into the water and die

OR

Do nothing: The fishermen will live,  the scientists may get out of the water in time","Scientists at the 
north end of lake: 9","Probability  scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The   ","The 7 customers on the patio died.

The 9 customers in the main dining room were saved.",9,65,scientists at the north end of the lake,dis,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.1461991001852,None,space,3.3122954997234046,736.1461991001852,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a group of ice fishermen towards the north side of a large frozen lake

• A group of scientists are on the south side of the lake drilling ice cores","Scientists at the 
north end of lake: 6","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 3 fishermen on the south end lived.

The   ","The 3 fishermen on the south end died.

The 6 scientists on the north end were saved.",6,35,scientists at the north end of the lake,dis,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,889.5257911002263,None,,,,,,,891.5294731003232,None,,,,,,,,,,,,,,,,,885.5417608004063,None,,,,,,,,,,,,,,,n,134.98981310008094,746.5002186000347,None,881.5192273003049,None,746.5002186000347,None,746.5002186000347,None,746.5002186000347,None,746.5002186000347,None,746.5002186000347,None,746.5002186000347,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"•The scientists sent out a distress call because the ice around them started to shatter and they have fallen into the freezing water

• You are an emergency worker who has been called to rescue the scientists","Scientists at the 
north end of lake: 14","Probability scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The   ","The 7 fishermen on the south end died.

The 14 scientists on the north end were saved.",14,50,scientists at the north end of the lake,EQUAL,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,1,1,1,,,,,,,906.9078559000045,None,,,,,,,908.9102134001441,None,,,,,,,,,,,,,,,,,902.9230567002669,None,,,,,,,,,,,,,,,y,2.3345594997517765,896.5485361004248,None,898.9002150003798,None,896.5485361004248,None,896.5485361004248,None,896.5485361004248,None,896.5485361004248,None,896.5485361004248,None,896.5485361004248,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• To reach the scientists in time, you would need to drive a vehicle across the ice, past the fishermen","Scientists at the 
north end of lake: 5","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The   ","The 2 customers on the patio died.

The 5 customers in the main dining room were saved.",5,50,scientists at the north end of the lake,AD,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,2,2,2,,,,,,,957.1990138003603,None,,,,,,,959.2023829002865,None,,,,,,,,,,,,,,,,,953.2156010000035,None,,,,,,,,,,,,,,,n,35.24341069953516,913.9265225003473,None,949.1923785000108,None,913.9265225003473,None,913.9265225003473,None,913.9265225003473,None,913.9265225003473,None,913.9265225003473,None,913.9265225003473,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• If you do this, the weight of the vehicle would cause the ice to crack around the fishermen, causing them to fall into the water and die from the cold

• You also know that there is a chance that the scientists may be able to climb out of the freezing water before going into shock and dying","Scientists at the 
north end of lake: 7","Probability scientists will
get out of the water: 65%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The   ","The 2 customers on the patio died.

The 7 customers in the main dining room were saved.",7,35,scientists at the north end of the lake,ad,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,3,3,3,,,,,,,980.2681547002867,None,,,,,,,982.2709025000222,None,,,,,,,,,,,,,,,,,976.2883648001589,None,,,,,,,,,,,,,,,n,8.026528100017458,964.2163900001906,None,972.2618336002342,None,964.2163900001906,None,964.2163900001906,None,964.2163900001906,None,964.2163900001906,None,964.2163900001906,None,964.2163900001906,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Drive to the scientists, causing the fishermen to fall into the water and die

OR

Do nothing: The fishermen will live,  the scientists may get out of the water in time","Scientists at the 
north end of lake: 9","Probability  scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The   ","The 7 customers on the patio died.

The 9 customers in the main dining room were saved.",9,65,scientists at the north end of the lake,dis,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,4,4,4,,,,,,,997.2991244001314,None,,,,,,,999.3018201002851,None,,,,,,,,,,,,,,,,,993.3174042003229,None,,,,,,,,,,,,,,,y,1.981592099647969,987.2845572000369,None,989.2926891003735,None,987.2845572000369,None,987.2845572000369,None,987.2845572000369,None,987.2845572000369,None,987.2845572000369,None,987.2845572000369,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• There has been a bomb planted in two buildings, drawing from the same set of wires

• You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,1002.3027301002294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.329857100267,None,space,13.384144600015134,1004.329857100267,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

• The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.7547559002414,None,space,0.6313645998016,1017.7547559002414,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

• If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.4354354003444,None,space,0.41455959994345903,1018.4354354003444,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,• You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.8775973999873,None,space,1.3483128999359906,1018.8775973999873,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Cut the green wire, blowing up the family in the home

OR

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.2845811001025,None,space,0.9987047999165952,1020.2845811001025,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• There has been a bomb planted in two buildings, drawing from the same set of wires

• You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,0,0,0,,,,,,,1037.8155180001631,None,,,,,,,1039.8182008001022,None,,,,,,,,,,,,,,,,,1033.8286913000047,None,,,,,,,,,,,,,,,n,1.4497197000309825,1028.3281878000125,None,1029.8087789001875,None,1028.3281878000125,None,1028.3281878000125,None,1028.3281878000125,None,1028.3281878000125,None,1028.3281878000125,None,1028.3281878000125,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

• The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,1,1,1,,,,,,,1055.2131419000216,None,,,,,,,1057.2164592002518,None,,,,,,,,,,,,,,,,,1051.2283364003524,None,,,,,,,,,,,,,,,n,2.3461448000743985,1044.8398347003385,None,1047.206585700158,None,1044.8398347003385,None,1044.8398347003385,None,1044.8398347003385,None,1044.8398347003385,None,1044.8398347003385,None,1044.8398347003385,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

• If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,2,2,2,,,,,,,1071.6101459003985,None,,,,,,,1073.6128760003485,None,,,,,,,,,,,,,,,,,1067.6241832002997,None,,,,,,,,,,,,,,,n,1.3552553001791239,1062.2307333000936,None,1063.6036415002309,None,1062.2307333000936,None,1062.2307333000936,None,1062.2307333000936,None,1062.2307333000936,None,1062.2307333000936,None,1062.2307333000936,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,• You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,3,3,3,,,,,,,1158.2991155004129,None,,,,,,,1160.302564600017,None,,,,,,,,,,,,,,,,,1154.317750800401,None,,,,,,,,,,,,,,,y,71.6507337000221,1078.6240364001133,None,1150.2929512001574,None,1078.6240364001133,None,1078.6240364001133,None,1078.6240364001133,None,1078.6240364001133,None,1078.6240364001133,None,1078.6240364001133,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Cut the green wire, blowing up the family in the home

OR

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,4,4,4,,,,,,,1188.340534900315,None,,,,,,,1190.3442960004322,None,,,,,,,,,,,,,,,,,1184.353625799995,None,,,,,,,,,,,,,,,n,14.99257960030809,1165.3134300000966,None,1180.3341669002548,None,1165.3134300000966,None,1165.3134300000966,None,1165.3134300000966,None,1165.3134300000966,None,1165.3134300000966,None,1165.3134300000966,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"•You are a worker on a large submarine

• The upper section of the submarine has a hole in it that is gradually letting water in","Passengers in the
submarine: 8","Probability the passengers will 
break open a window: 35%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 8 passengers were saved.",8,35, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,1193.3444396001287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.367476100102,None,space,27.19466149993241,1195.367476100102,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
