Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately",Repairmen on main track: 6,Probability of evacuation: 35%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,449.2211536001414,None,,,,,,,434.0909102000296,None,,,,,,,,,,,,,,,,,445.2351818999741,None,,,,,,,,,,,,,,,n,2.09896650002338,439.0897592001129,None,441.21480430010706,None,439.0897592001129,None,439.0897592001129,None,439.0897592001129,None,439.0897592001129,None,439.0897592001129,None,439.0897592001129,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working",Repairmen on main track: 7,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmenon the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,1,1,1,,,,,,,469.8386003000196,None,,,,,,,451.2241762999911,None,,,,,,,,,,,,,,,,,465.85222260002047,None,,,,,,,,,,,,,,,n,5.581838699989021,456.23165900004096,None,461.83193860016763,None,456.23165900004096,None,456.23165900004096,None,456.23165900004096,None,456.23165900004096,None,456.23165900004096,None,456.23165900004096,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die",Repairmen on main track: 5,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,2,2,2,,,,,,,487.1530620001722,None,,,,,,,471.8421958000399,None,,,,,,,,,,,,,,,,,483.1692560999654,None,,,,,,,,,,,,,,,n,2.2751966998912394,476.8494009000715,None,479.1463970001787,None,476.8494009000715,None,476.8494009000715,None,476.8494009000715,None,476.8494009000715,None,476.8494009000715,None,476.8494009000715,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time",Repairmen on main track: 6,Probability of evacuation:  50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 4 repairmen on the sidetrack lived.

The ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,Repairmen on sidetrack: 4,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,3,3,3,,,,,,,502.9494646000676,None,,,,,,,489.1561636000406,None,,,,,,,,,,,,,,,,,498.96297360002063,None,,,,,,,,,,,,,,,n,0.7467952999286354,494.1700548999943,None,494.94273030012846,None,494.1700548999943,None,494.1700548999943,None,494.1700548999943,None,494.1700548999943,None,494.1700548999943,None,494.1700548999943,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

OR

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating",Repairmen on main track: 7,Probability of evacuation: 50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,4,4,4,,,,,,,539.5800280000549,None,,,,,,,504.9523603001144,None,,,,,,,,,,,,,,,,,535.593764499994,None,,,,,,,,,,,,,,,n,21.59087980003096,509.9660495000426,None,531.5732872001827,None,509.9660495000426,None,509.9660495000426,None,509.9660495000426,None,509.9660495000426,None,509.9660495000426,None,509.9660495000426,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a group of ice fishermen towards the south side of a large frozen lake

• A group of scientists are on the north side of the lake drilling ice cores","Scientists at the 
north end of lake: 6","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 3 fishermen on the south end lived.

The ","The 3 fishermen on the south end died.

The 6 scientists on the north end were saved.",6,35, scientists at the north end of the lake,Fishermen on the south end: 3,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,541.5814406999853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.6054051001556,None,space,4.127396400086582,543.6054051001556,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"•The scientists sent out a distress call because the ice around them started to shatter and they have fallen into the freezing water

• You are an emergency worker who has been called to rescue the scientists","Scientists at the 
north end of lake: 14","Probability scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The ","The 7 fishermen on the south end died.

The 14 scientists on the north end were saved.",14,50, scientists at the north end of the lake,Fishermen on the south end: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.7693271001335,None,space,0.2513784000184387,547.7693271001335,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• To reach the scientists in time, you would need to drive a vehicle across the ice, past the fishermen","Scientists at the 
north end of lake: 5","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The ","The 2 fishermen on the south end died.

The 5 scientists on the north end were saved.",5,50, scientists at the north end of the lake,Fishermen on the south end: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.0459781000391,None,space,0.2627903001848608,548.0459781000391,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• If you do this, the weight of the vehicle would cause the ice to crack around the fishermen, causing them to fall into the water and die from the cold

• You also know that there is a chance that the scientists may be able to climb out of the freezing water before going into shock and dying","Scientists at the 
north end of lake: 7","Probability scientists will
get out of the water: 65%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The ","The 2 fishermen on the south end died.

The 7 scientists on the north end were saved.",7,35, scientists at the north end of the lake,Fishermen on the south end: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.3627059999853,None,space,0.16978300013579428,548.3627059999853,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Drive to the scientists, causing the fishermen to fall into the water and die

OR

Do nothing: The fishermen will live,  the scientists may get out of the water in time","Scientists at the 
north end of lake: 9","Probability  scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The ","The 7 fishermen on the south end died.

The 9 scientists on the north end were saved.",9,65, scientists at the north end of the lake,Fishermen on the south end: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.5824703001417,None,space,0.15810779994353652,548.5824703001417,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a group of ice fishermen towards the south side of a large frozen lake

• A group of scientists are on the north side of the lake drilling ice cores","Scientists at the 
north end of lake: 6","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 3 fishermen on the south end lived.

The ","The 3 fishermen on the south end died.

The 6 scientists on the north end were saved.",6,35, scientists at the north end of the lake,Fishermen on the south end: 3,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,572.1569358000997,None,,,,,,,550.7851281000767,None,,,,,,,,,,,,,,,,,568.1726040001959,None,,,,,,,,,,,,,,,n,8.34077429980971,555.7918533000629,None,564.1503187001217,None,555.7918533000629,None,555.7918533000629,None,555.7918533000629,None,555.7918533000629,None,555.7918533000629,None,555.7918533000629,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"•The scientists sent out a distress call because the ice around them started to shatter and they have fallen into the freezing water

• You are an emergency worker who has been called to rescue the scientists","Scientists at the 
north end of lake: 14","Probability scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The ","The 7 fishermen on the south end died.

The 14 scientists on the north end were saved.",14,50, scientists at the north end of the lake,Fishermen on the south end: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,1,1,1,,,,,,,587.7699282001704,None,,,,,,,574.1606593001634,None,,,,,,,,,,,,,,,,,583.7882122001611,None,,,,,,,,,,,,,,,n,0.5733754001557827,579.1751786000095,None,579.7632055000868,None,579.1751786000095,None,579.1751786000095,None,579.1751786000095,None,579.1751786000095,None,579.1751786000095,None,579.1751786000095,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• To reach the scientists in time, you would need to drive a vehicle across the ice, past the fishermen","Scientists at the 
north end of lake: 5","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The ","The 2 fishermen on the south end died.

The 5 scientists on the north end were saved.",5,50, scientists at the north end of the lake,Fishermen on the south end: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,2,2,2,,,,,,,605.184302699985,None,,,,,,,589.7736943000928,None,,,,,,,,,,,,,,,,,601.2028298000805,None,,,,,,,,,,,,,,,n,2.3665706000756472,594.7899142000824,None,597.177799400175,None,594.7899142000824,None,594.7899142000824,None,594.7899142000824,None,594.7899142000824,None,594.7899142000824,None,594.7899142000824,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• If you do this, the weight of the vehicle would cause the ice to crack around the fishermen, causing them to fall into the water and die from the cold

• You also know that there is a chance that the scientists may be able to climb out of the freezing water before going into shock and dying","Scientists at the 
north end of lake: 7","Probability scientists will
get out of the water: 65%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The ","The 2 fishermen on the south end died.

The 7 scientists on the north end were saved.",7,35, scientists at the north end of the lake,Fishermen on the south end: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,3,3,3,,,,,,,621.5642737001181,None,,,,,,,607.1879561999813,None,,,,,,,,,,,,,,,,,617.5792884000111,None,,,,,,,,,,,,,,,n,1.341457499889657,612.1991524000186,None,613.5582481001038,None,612.1991524000186,None,612.1991524000186,None,612.1991524000186,None,612.1991524000186,None,612.1991524000186,None,612.1991524000186,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Drive to the scientists, causing the fishermen to fall into the water and die

OR

Do nothing: The fishermen will live,  the scientists may get out of the water in time","Scientists at the 
north end of lake: 9","Probability  scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The ","The 7 fishermen on the south end died.

The 9 scientists on the north end were saved.",9,65, scientists at the north end of the lake,Fishermen on the south end: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,4,4,4,,,,,,,638.5787409001496,None,,,,,,,623.5674887001514,None,,,,,,,,,,,,,,,,,634.5935919000767,None,,,,,,,,,,,,,,,n,1.9625570999924093,628.5862708999775,None,630.5717295000795,None,628.5862708999775,None,628.5862708999775,None,628.5862708999775,None,628.5862708999775,None,628.5862708999775,None,628.5862708999775,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• There has been a bomb planted in two buildings, drawing from the same set of wires

• You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,640.5806359001435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.605279300129,None,space,1.5761555000208318,642.605279300129,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

• The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.2217918999959,None,space,0.19870489998720586,644.2217918999959,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

• If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.4676817001309,None,space,0.16122670006006956,644.4676817001309,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,• You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.6605699001811,None,space,0.17587749985978007,644.6605699001811,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Cut the green wire, blowing up the family in the home

OR

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.8999409000389,None,space,0.5764917000196874,644.8999409000389,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• There has been a bomb planted in two buildings, drawing from the same set of wires

• You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,0,0,0,,,,,,,662.481823900016,None,,,,,,,647.5186596000567,None,,,,,,,,,,,,,,,,,658.4939937000163,None,,,,,,,,,,,,,,,n,1.9283612999133766,652.524434100138,None,654.4754520000424,None,652.524434100138,None,652.524434100138,None,652.524434100138,None,652.524434100138,None,652.524434100138,None,652.524434100138,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

• The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,1,1,1,,,,,,,679.8869633001741,None,,,,,,,664.4853122001514,None,,,,,,,,,,,,,,,,,675.896096700104,None,,,,,,,,,,,,,,,n,2.340525900013745,669.5042214000132,None,671.872940100031,None,669.5042214000132,None,669.5042214000132,None,669.5042214000132,None,669.5042214000132,None,669.5042214000132,None,669.5042214000132,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

• If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,2,2,2,,,,,,,703.4825526999775,None,,,,,,,681.8834586001467,None,,,,,,,,,,,,,,,,,699.5003319000825,None,,,,,,,,,,,,,,,n,8.564567500026897,686.8960025999695,None,695.4760582000017,None,686.8960025999695,None,686.8960025999695,None,686.8960025999695,None,686.8960025999695,None,686.8960025999695,None,686.8960025999695,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,• You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,3,3,3,,,,,,,720.3636278000195,None,,,,,,,705.4879865001421,None,,,,,,,,,,,,,,,,,716.3889940001536,None,,,,,,,,,,,,,,,y,1.8442955000791699,710.4966578001622,None,712.3566131000407,None,710.4966578001622,None,710.4966578001622,None,710.4966578001622,None,710.4966578001622,None,710.4966578001622,None,710.4966578001622,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Cut the green wire, blowing up the family in the home

OR

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,4,4,4,,,,,,,737.8443248001859,None,,,,,,,722.3674021000043,None,,,,,,,,,,,,,,,,,733.8607248000335,None,,,,,,,,,,,,,,,n,2.4345567000564188,727.3779172000941,None,729.8383552001324,None,727.3779172000941,None,727.3779172000941,None,727.3779172000941,None,727.3779172000941,None,727.3779172000941,None,727.3779172000941,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"•You are a worker on a large submarine

• The upper section of the submarine has a hole in it that is gradually letting water in","Passengers in the
submarine: 8","Probability the passengers will 
break open a window: 35%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 8 passengers were saved.",8,35, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,739.8460825001821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.8678764000069,None,space,5.67262369999662,741.8678764000069,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
